,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2015-09-13,,135.98270260249487,,,,-16451.472160106045,16723.43756531104,,,,-0.982702602494868,-16588.43756531104,16586.472160106045,,,
2015-09-20,,135.00000027678553,,,,122.54881034118195,147.4511902123891,,,,5.999999723214472,-6.451190212389093,18.451189658818052,,,
2015-09-27,,134.06536713502007,,,,123.28140140633343,144.84933286370668,,,,0.9346328649799318,-9.849332863706678,11.71859859366657,,,
2015-10-04,,130.44177746034916,,,,120.27369141179975,140.60986350889857,,,,0.558222539650842,-9.60986350889857,10.726308588200254,,,
2015-10-11,,128.61388297913786,,,,118.76783842686123,138.4599275314145,,,,1.3861170208621445,-8.459927531414507,11.232161573138768,,,
2015-10-18,,130.85965544730132,,,,121.2117214512261,140.50758944337653,,,,-0.8596554473013214,-10.507589443376531,8.788278548773903,,,
2015-10-25,,128.74800948014067,,,,119.23421064500283,138.26180831527847,,,,0.2519905198593335,-9.261808315278472,9.765789354997167,,,
2015-11-01,,128.78424689658038,,,,119.36722971980119,138.2012640733596,,,,-2.7842468965803846,-12.201264073359596,6.632770280198812,,,
2015-11-08,,120.562311748406,,,,111.2183637320848,129.90625976472722,,,,-0.5623117484060032,-9.906259764727224,8.781636267915204,,,
2015-11-15,,121.48296077924911,,,,112.19608583612067,130.76983572237754,,,,-1.4829607792491117,-10.769835722377536,7.803914163879327,,,
2015-11-22,,119.36481272809004,,,,110.12370945923682,128.60591599694328,,,,-0.36481272809004395,-9.605915996943281,8.87629054076318,,,
2015-11-29,,122.28260671236092,,,,113.07899449166334,131.48621893305847,,,,-3.2826067123609164,-12.486218933058467,5.921005508336663,,,
2015-12-06,,118.0677920901693,,,,108.89542240497076,127.24016177536787,,,,-8.067792090169306,-17.240161775367866,1.104577595029241,,,
