,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2015-09-13,,142.2784557653345,,,,-15070.151884338655,15354.708795869325,,,,2.1940305498484634,-15210.236309554142,15214.624370653837,,,
2015-09-20,,144.78951963956578,,,,133.3591845892597,156.21985468987188,,,,13.940376292316898,2.5100412420108,25.37071134262297,,,
2015-09-27,,149.83630305895545,,,,139.93650060106867,159.73610551684223,,,,-6.652437280973345,-16.552239738860123,3.2473651769134335,,,
2015-10-04,,145.42800278203245,,,,136.09358640134747,154.7624191627174,,,,-4.089922286676426,-13.424338667361383,5.244494094008559,,,
2015-10-11,,143.45913742019764,,,,134.4203602404986,152.49791459989666,,,,-3.1689026464650567,-12.207679826164082,5.869874533233968,,,
2015-10-18,,143.46027267872276,,,,134.6033646513057,152.31718070613982,,,,-4.202346918009056,-13.059254945426119,4.654561109408007,,,
2015-10-25,,142.4167758608931,,,,133.6830068248388,151.15054489694742,,,,-5.482031853790403,-14.21580088984473,3.251737182263895,,,
2015-11-01,,141.15962666659271,,,,132.51470566797914,149.8045476652063,,,,-4.59555359487419,-13.240474593487761,4.049367403739382,,,
2015-11-08,,134.45745949252006,,,,125.87961817806634,143.0353008069738,,,,-4.604673506872103,-13.182514821325839,3.9731678075816177,,,
2015-11-15,,133.96513857305573,,,,125.43969234379504,142.49058480231642,,,,-5.573337430427671,-14.098783659688365,2.9521087988330095,,,
2015-11-22,,132.89267787254747,,,,124.4092519075783,141.3761038375166,,,,-7.043414537970818,-15.526840502939962,1.4400114269983533,,,
2015-11-29,,133.8621230487891,,,,125.4131156313101,142.3111304662681,,,,-7.5498902917710495,-15.998897709250059,0.8991171257079458,,,
2015-12-06,,125.72507964152261,,,,117.30475455805446,134.14540472499078,,,,-5.560500483205985,-13.980825566674156,2.859824600262172,,,
2015-12-13,,123.34825633924629,,,,114.95217862301506,131.7443340554775,,,,-2.9948246198487283,-11.390902336079947,5.401253096382504,,,
2015-12-20,,123.3496767668038,,,,114.97434684631482,131.7250066872928,,,,0.38751400019756943,-7.987815920291425,8.76284392068655,,,
2015-12-27,,126.89059585460282,,,,118.53320387309512,135.24798783611052,,,,-4.088688443515977,-12.44608042502368,4.268703537991726,,,
2016-01-03,,125.78694744670146,,,,117.4452032960443,134.12869159735862,,,,0.03563952047149144,-8.306104630185672,8.377383671128655,,,
2016-01-10,,123.05294337210492,,,,114.7249560610376,131.38093068317224,,,,-0.643685569849481,-8.971672880916799,7.684301741217837,,,
2016-01-17,,122.72413560971701,,,,114.4083257225766,131.0399454968574,,,,1.3645614756403859,-6.9512484115000035,9.68037136278079,,,
2016-01-24,,122.7463366227677,,,,114.44137154097545,131.05130170455996,,,,-0.522647959485127,-8.827613041277388,7.78231712230712,,,
