,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2015-09-13,,134.6900000463163,,,,-16730.053012654782,16999.43301274742,,,,0.30999995368370037,-16864.43301274742,16865.053012654782,,,
2015-09-20,,134.99999990379462,,,,121.71186723169865,148.2881325758906,,,,6.000000096205383,-7.288132575890586,19.288132768301352,,,
2015-09-27,,134.1676574518213,,,,122.65890678385766,145.67640811978492,,,,0.8323425481787012,-10.676408119784924,12.34109321614234,,,
2015-10-04,,130.61228152436993,,,,119.76088878824129,141.46367426049858,,,,0.38771847563006645,-10.463674260498578,11.239111211758711,,,
2015-10-11,,128.79284950005686,,,,118.28522228635038,139.30047671376332,,,,1.2071504999431397,-9.300476713763317,11.714777713649625,,,
2015-10-18,,130.95146999374072,,,,120.65534560644697,141.24759438103447,,,,-0.9514699937407158,-11.247594381034475,9.344654393553029,,,
2015-10-25,,128.8756991782891,,,,118.72280112706795,139.02859722951027,,,,0.12430082171090362,-10.028597229510268,10.277198872932047,,,
2015-11-01,,128.8935633528088,,,,118.8440267494715,138.9430999561461,,,,-2.8935633528087976,-12.943099956146114,7.155973250528504,,,
2015-11-08,,120.86286209707364,,,,110.89138008888061,130.83434410526667,,,,-0.8628620970736449,-10.834344105266666,9.10861991111939,,,
2015-11-15,,121.72424260811272,,,,111.8137434851611,131.63474173106434,,,,-1.7242426081127178,-11.634741731064338,8.186256514838902,,,
2015-11-22,,119.63302734761133,,,,109.77144967626845,129.49460501895422,,,,-0.633027347611332,-10.494605018954218,9.228550323731554,,,
2015-11-29,,122.44932719749079,,,,112.62783337101068,132.2708210239709,,,,-3.4493271974907884,-13.27082102397091,6.372166628989319,,,
2015-12-06,,118.32324945542612,,,,108.53517056927465,128.1113283415776,,,,-8.323249455426122,-18.111328341577604,1.464829430725345,,,
2015-12-13,,111.91867485616719,,,,102.15885473576665,121.6784949765677,,,,-2.9186748561671862,-12.678494976567706,6.841145264233347,,,
2015-12-20,,111.70457685098324,,,,101.96894673407999,121.4402069678865,,,,0.7954231490167558,-8.940206967886496,10.531053265920008,,,
2015-12-27,,117.5088142099842,,,,107.7941071328812,127.22352128708718,,,,-7.508814209984195,-17.22352128708718,2.2058928671188056,,,
2016-01-03,,115.1062628615726,,,,105.40981606669922,124.80270965644597,,,,-0.10626286157260267,-9.80270965644597,9.590183933300779,,,
2016-01-10,,111.26672144123494,,,,101.58633613804975,120.94710674442013,,,,1.2332785587650648,-8.447106744420125,10.913663861950255,,,
2016-01-17,,111.33835579453738,,,,101.67219538957971,121.00451619949504,,,,3.661644205462622,-6.004516199495043,13.327804610420287,,,
2016-01-24,,111.54088194961,,,,101.88739673926784,121.19436715995214,,,,1.4591180503900034,-8.194367159952137,11.112603260732158,,,
2016-01-31,,111.6179638740114,,,,101.97583434977764,121.26009339824513,,,,2.3820361259886056,-7.260093398245132,12.024165650222358,,,
2016-02-07,,107.90544614997314,,,,98.27353965519397,117.53735264475233,,,,17.094553850026855,7.462647355247668,26.72646034480603,,,
2016-02-14,,108.73588293805203,,,,99.11322007221449,118.35854580388957,,,,6.264117061947971,-3.3585458038895695,15.886779927785511,,,
2016-02-21,,109.02873203445829,,,,99.41446028725836,118.6430037816582,,,,0.9712679655417134,-8.643003781658194,10.585539712741635,,,
2016-02-28,,109.0725222174372,,,,99.46589504233904,118.67914939253535,,,,0.9274777825628036,-8.67914939253535,10.534104957660958,,,
2016-03-06,,109.11292798454292,,,,99.51328801829314,118.7125679507927,,,,4.887072015457079,-4.712567950792703,14.486711981706861,,,
2016-03-13,,109.79815728592372,,,,100.20492276570658,119.39139180614086,,,,5.201842714076278,-4.391391806140859,14.795077234293416,,,
2016-03-20,,113.36478378246336,,,,103.7774374561686,122.95213010875813,,,,5.635216217536637,-3.9521301087581264,15.222562543831401,,,
2016-03-27,,114.54684262708166,,,,104.96492262685136,124.12876262731196,,,,0.4531573729183407,-9.128762627311957,10.035077373148638,,,
2016-04-03,,113.60608703051375,,,,104.02917930661503,123.18299475441245,,,,4.3939129694862515,-5.182994754412448,13.970820693384965,,,
2016-04-10,,109.93834774484823,,,,100.3660797502203,119.51061573947617,,,,3.0616522551517704,-6.510615739476165,12.633920249779706,,,
2016-04-17,,110.05066978444142,,,,100.482705169667,119.61863439921586,,,,0.9493302155585752,-8.618634399215864,10.517294830333,,,
2016-04-24,,110.08467479924248,,,,100.52070892986947,119.64864066861549,,,,2.915325200757522,-6.648640668615485,12.479291070130529,,,
2016-05-01,,110.18675077321379,,,,100.62650692096742,119.74699462546016,,,,4.813249226786212,-4.746994625460161,14.373493079032585,,,
2016-05-08,,114.18470045654325,,,,104.62792654632598,123.74147436676053,,,,1.8152995434567458,-7.741474366760528,11.37207345367402,,,
2016-05-15,,115.2038825263123,,,,105.65034834435293,124.75741670827165,,,,4.796117473687701,-4.7574167082716485,14.349651655647065,,,
2016-05-22,,115.36169903885728,,,,105.8111938256539,124.91220425206066,,,,4.638300961142718,-4.912204252060661,14.188806174346098,,,
2016-05-29,,118.3862552629559,,,,108.83858562901196,127.93392489689984,,,,1.613744737044101,-7.933924896899839,11.161414370988041,,,
2016-06-05,,120.35395676062697,,,,110.8089448743316,129.89896864692233,,,,-1.3539567606269713,-10.898968646922327,8.191055125668399,,,
