,ds,yhat,yhat_lower,yhat_upper
0,2015-05-10,119.59575811651547,116.82716280434622,122.72991455308775
1,2015-05-17,121.8769220488176,118.95348764938157,124.82779854257264
2,2015-05-24,122.1989916712756,119.21750651088769,125.04261401088092
3,2015-05-31,121.87431903703187,118.94750544187465,124.55445730025829
4,2015-06-07,125.12966254678147,122.04875534657916,128.14649776704164
5,2015-06-14,124.98806908541809,122.04818032081877,127.73175489298451
6,2015-06-21,126.91766869929756,123.96052560490789,129.83745952425784
7,2015-06-28,127.02349913715608,124.13918055876141,129.87598856780426
8,2015-07-05,127.45190131206274,124.71439508958255,130.24634501416364
9,2015-07-12,125.16104561602886,122.31974642874144,128.03366167519508
10,2015-07-19,126.07695774150669,123.05546554601806,128.98889346790014
11,2015-07-26,126.98927597183382,124.10418354954498,129.83187986738912
12,2015-08-02,129.35103133879554,126.4509171942367,132.32761893833117
13,2015-08-09,138.81175643629012,136.0643614607565,141.5562838044805
14,2015-08-16,133.77002292065174,130.85853057997628,136.61067608441883
15,2015-08-23,132.74881028718585,129.93420406031262,135.60715019230193
16,2015-08-30,131.86374289141585,129.16563361093688,134.81850131542234
17,2015-09-06,134.74208888840718,131.90958274332854,137.7121509480722
18,2015-09-13,133.20063704585803,130.41182284617247,136.03539540615836
19,2015-09-20,139.08278494439935,136.30406136335543,141.88631323219371
20,2015-09-27,131.32818501214874,128.28222306292867,134.34952945694818
21,2015-10-04,130.96938165866925,128.1471078509951,134.0199521758426
22,2015-10-11,129.64274268168597,126.6623599227891,132.44563728686032
23,2015-10-18,129.55795021542139,126.80684303930644,132.47213262060174
24,2015-10-25,126.95969010043352,123.99082754221777,130.02501697839406
25,2015-11-01,124.47247742965865,121.67438198765855,127.2170067247389
26,2015-11-08,125.19145640880006,122.3371323634928,127.90260910135916
27,2015-11-15,123.37695855061168,120.64838034017231,126.33158443789507
28,2015-11-22,120.89682217091486,118.0128709753563,123.76330123028433
29,2015-11-29,117.39955087432811,114.43918993456705,120.4821664976015
30,2015-12-06,117.13682937255949,114.22499191894435,119.93265940953665
31,2015-12-13,114.29875217956256,111.24015698880444,117.16140137043033
32,2015-12-20,115.36774466229217,112.56355848814034,118.46586640792484
33,2015-12-27,115.04735082916852,112.14395528553008,118.03137308433378
34,2016-01-03,114.66503282315388,111.4785367727776,117.54022418293454
35,2016-01-10,113.22625933186094,110.29445236386613,116.0249482303978
36,2016-01-17,113.42131188505051,110.2939976528013,116.3881252978133
37,2016-01-24,113.50239392990724,110.57849443113012,116.44857053063397
38,2016-01-31,114.7569673638429,111.90272472874804,117.54976689178307
39,2016-02-07,118.20845876305351,115.28009595638801,121.2892135273794
40,2016-02-14,116.26412439858757,113.24326489536101,119.14743620666161
41,2016-02-21,113.71571328401588,110.79503249076707,116.39257401883096
42,2016-02-28,111.76515025431726,108.74788917294316,114.69658748701464
43,2016-03-06,114.43958874810075,111.5711339487887,117.30851686702711
44,2016-03-13,114.64446840844526,111.79511754502515,117.61489540295197
45,2016-03-20,116.95125179701677,114.03821445265544,119.98433873689898
46,2016-03-27,116.38077937253458,113.61344057414905,119.27795817378804
47,2016-04-03,115.85699145549282,113.01165507818723,118.69174903194504
48,2016-04-10,115.96713611764932,113.17816482372231,118.79480826345957
49,2016-04-17,116.34338967208835,113.45050020131238,119.25769871292455
50,2016-04-24,115.59526105569755,112.72713804904794,118.29154260195446
51,2016-05-01,115.57945328642799,112.85952937185928,118.47054315115433
52,2016-05-08,119.64718127228244,116.91820522991306,122.69858189367322
53,2016-05-15,119.96613146044793,116.99483515084404,122.83905270613936
54,2016-05-22,120.71952006968525,117.79000775221334,123.6416243489136
55,2016-05-29,119.71953098011505,116.84924126604788,122.64825592064435
56,2016-06-05,120.63590053638951,117.71165965185736,123.48968006348595
57,2016-06-12,119.40671157688213,116.36480020571516,122.41312479710402
58,2016-06-19,121.5837076287199,118.44952805200779,124.36283521969102
59,2016-06-26,121.84090446358269,118.97101120911005,124.66639481766398
60,2016-07-03,121.50018595121364,118.55281468477388,124.1860547163072
61,2016-07-10,121.57453208276844,118.92870364270965,124.50728436814808
62,2016-07-17,120.85030064779338,118.16761593816898,123.5749621498547
63,2016-07-24,120.242662215566,117.38273485890662,123.00244548860468
