date,date,Portland_avg_price,SF_avg_price
2015-05-03,2015-05-03,69.65632112559487,
2015-05-10,2015-05-10,69.64330438295293,142.50761883102115
2015-05-17,2015-05-17,71.2716997536589,144.5130767595152
2015-05-24,2015-05-24,71.94597887896019,144.71213011953753
2015-05-31,2015-05-31,71.68105016896283,140.07463938275745
2015-06-07,2015-06-07,74.52110707296617,141.8787536325476
2015-06-14,2015-06-14,75.20708748615725,141.70438184663536
2015-06-21,2015-06-21,74.39551451187334,141.47000151125889
2015-06-28,2015-06-28,74.78858695652174,147.44390012642225
2015-07-05,2015-07-05,74.9959969977483,142.79376083188907
2015-07-12,2015-07-12,74.63751584283904,141.22623130744958
2015-07-19,2015-07-19,74.11829537105069,142.67309520575853
2015-07-26,2015-07-26,74.2909658817876,142.53821226032946
2015-08-02,2015-08-02,74.12719298245614,139.13730672657593
2015-08-09,2015-08-09,73.93836534167039,
2015-08-16,2015-08-16,73.12063492063493,
2015-08-23,2015-08-23,,
2015-08-30,2015-08-30,,
2015-09-06,2015-09-06,84.94993894993895,163.03104026845637
2015-09-13,2015-09-13,78.70481661511268,158.8232635585157
2015-09-20,2015-09-20,79.51945003353454,180.8349194729136
2015-09-27,2015-09-27,78.3913043478261,156.16288461538463
2015-10-04,2015-10-04,77.3131559677813,153.38971865230982
2015-10-11,2015-10-11,76.84225792057117,149.8701373825018
2015-10-18,2015-10-18,77.19537329127235,148.56893970328025
2015-10-25,2015-10-25,76.92226849097759,146.17400685366164
2015-11-01,2015-11-01,76.73083475298127,145.7897577092511
2015-11-08,2015-11-08,74.40875833871314,141.08046827692928
2015-11-15,2015-11-15,74.19446394544178,139.5337958131254
2015-11-22,2015-11-22,73.84690191719922,136.761311546136
2015-11-29,2015-11-29,74.35841107433042,137.25649263721553
2015-12-06,2015-12-06,70.66118677042802,130.8202842017275
2015-12-13,2015-12-13,69.86376197494474,131.6534717715769
2015-12-20,2015-12-20,69.94619936276742,135.0943604458669
2015-12-27,2015-12-27,71.56465606279694,134.43598633559373
2016-01-03,2016-01-03,71.74440205672583,136.69365701648573
2016-01-10,2016-01-10,70.49622180557922,133.0187665198238
2016-01-17,2016-01-17,70.23560697444896,133.68986265533027
2016-01-24,2016-01-24,70.14773621530874,132.52734375
2016-01-31,2016-01-31,70.14587671803415,133.5115490665823
2016-02-07,2016-02-07,69.03634836852207,172.1767270288397
2016-02-14,2016-02-14,69.25556739776744,145.12543299019367
2016-02-21,2016-02-21,69.04984257431026,135.89807638434962
2016-02-28,2016-02-28,68.86523609599337,134.32162653540863
2016-03-06,2016-03-06,68.54454419889503,138.5887175629936
2016-03-13,2016-03-13,69.08368694012259,141.38177613321
2016-03-20,2016-03-20,69.4868297271872,142.41715380929563
2016-03-27,2016-03-27,69.61313021961027,140.938934760911
2016-04-03,2016-04-03,69.2649907072288,142.02014855288996
2016-04-10,2016-04-10,69.93377483443709,141.92776765619976
2016-04-17,2016-04-17,69.50685419262952,140.79605197401298
2016-04-24,2016-04-24,69.0955425017277,141.7385172663608
2016-05-01,2016-05-01,69.25568842384986,141.99333641832484
2016-05-08,2016-05-08,70.12689681335357,145.0778002894356
2016-05-15,2016-05-15,69.76898734177215,147.42124089490113
2016-05-22,2016-05-22,70.34836191845538,148.13202763516512
