,ds,yhat,yhat_lower,yhat_upper
0,2015-09-06,138.38718433706413,136.12394164798306,140.92630901330077
1,2015-09-13,134.79105645572096,132.24142251652805,137.30851893105933
2,2015-09-20,139.97286853027362,137.59920992916,142.4212312138564
3,2015-09-27,134.58778749905784,132.3300172074228,137.11318573002404
4,2015-10-04,133.32348219359906,130.86168459934993,135.7440779816137
5,2015-10-11,130.0519481481129,127.4726055427437,132.35398716706447
6,2015-10-18,129.5051519208628,127.24875246175284,131.89799262435713
7,2015-10-25,128.46141392951463,126.12866680976813,130.94389591866272
8,2015-11-01,126.43056242687054,123.90213779714499,128.97412327547744
9,2015-11-08,123.1980669360009,120.82747179115401,125.5845454855558
10,2015-11-15,119.78077769150156,117.25736140787455,121.9238701557748
11,2015-11-22,120.64042344672296,118.3221474577376,122.97128810373648
12,2015-11-29,118.26250457809796,115.95214524409609,120.66085925848415
13,2015-12-06,114.55665967096152,112.09243983874433,116.77410125475438
14,2015-12-13,113.11519163785047,110.6069531021372,115.52623260672421
15,2015-12-20,114.86555360552927,112.43418400702923,117.34804569629033
16,2015-12-27,111.68783913470119,109.33523030332744,114.06034356531941
17,2016-01-03,112.78352195469915,110.33514923319048,115.21584918550494
18,2016-01-10,113.16229269373197,110.51599891405156,115.553071517835
19,2016-01-17,113.9118419656636,111.49465633991223,116.1430297897975
20,2016-01-24,113.2489371160314,111.08352906278351,115.65253705799108
21,2016-01-31,113.97856553121375,111.66618205466399,116.40636715885248
22,2016-02-07,118.23284977406925,115.98945886336183,120.65683865278483
23,2016-02-14,114.57516756749052,112.1141297982881,117.06068849679951
24,2016-02-21,110.23640738629172,107.81367800471124,112.73408222753896
25,2016-02-28,111.33565277153515,108.83985541635506,113.69091127481605
26,2016-03-06,113.91246946461608,111.6308143939066,116.17236526775356
27,2016-03-13,113.53561611482745,111.14198433937709,116.02723710250336
28,2016-03-20,116.04926921992153,113.55338738891369,118.31712218755551
29,2016-03-27,114.1282649680103,111.59219219991277,116.40737637718583
30,2016-04-03,115.00202970142831,112.60102323674194,117.31511041896283
31,2016-04-10,113.40432834354677,111.04765762073225,115.86692507269125
32,2016-04-17,112.13024845219002,109.57999595306018,114.52857046072731
33,2016-04-24,113.39185909323618,111.04136257368988,115.78349005366154
34,2016-05-01,113.11615630344201,110.76199538576786,115.5785110154377
35,2016-05-08,116.8533711972502,114.40056419639748,119.15188536512446
36,2016-05-15,119.05385754669992,116.5294048802756,121.49706864769205
37,2016-05-22,118.65878934287798,116.1584694169097,121.00173039234427
38,2016-05-29,118.42802657901647,116.10052586677335,120.819507502833
39,2016-06-05,119.76221659946043,117.43019906258431,122.1898039491359
40,2016-06-12,117.7342539142737,115.38347393469104,120.09211578764611
41,2016-06-19,121.2270062693333,118.87706603693022,123.50977419162578
42,2016-06-26,121.3036868528512,119.05904048873266,123.59762085748918
43,2016-07-03,120.12542941221389,117.77958203757686,122.60636153831014
44,2016-07-10,119.42975156653252,117.24848771084532,121.83939668866445
45,2016-07-17,120.09865162668527,117.72458006403455,122.39621632578472
46,2016-07-24,120.64354738750173,118.16670705337839,123.07772186246098
47,2016-07-31,120.64227559891313,118.19203618923738,122.9856030265803
48,2016-08-07,126.00362898488181,123.45750468211557,128.3725075143818
49,2016-08-14,121.95240476955641,119.49002972339554,124.26648463565328
50,2016-08-21,118.30812381545381,115.87935829820533,120.77878793361937
51,2016-08-28,119.1818546382806,116.65304580012685,121.69571804250302
52,2016-09-04,121.90818712421455,119.45510037313663,124.16076681397676
53,2016-09-11,119.05309310793746,116.61843069018177,121.5313873596802
54,2016-09-18,120.31143588991584,117.90183542663053,122.78949175315668
55,2016-09-25,119.01097329279655,116.73250541357761,121.33522990353362
56,2016-10-02,117.4861884320985,115.18393268924545,120.12360180253803
57,2016-10-09,121.01341611906888,118.72428337205,123.52469905014728
58,2016-10-16,114.23838622359366,111.77226200134336,116.3859280317629
59,2016-10-23,112.87161043719946,110.5833664341007,115.41494006793141
60,2016-10-30,111.68718331816858,109.37477401679703,113.9494087465688
61,2016-11-06,110.17485098704206,107.71386998606636,112.55935910473993
62,2016-11-13,105.74649750736756,103.56450246961208,108.10027419185364
63,2016-11-20,107.74028022547046,105.48386409658984,110.17308522874816
64,2016-11-27,105.62458278284157,103.1889346246669,107.9520091864793
65,2016-12-04,99.95173300938791,97.42704334771034,102.30722962349587
66,2016-12-11,98.2988573834947,95.98030627806601,100.58759895018807
67,2016-12-18,100.76809135379449,98.41711447696075,103.19063721717754
68,2016-12-25,101.65000601789716,99.20618483611531,103.86979633022558
69,2017-01-01,102.98900232188166,100.44644611617184,105.45872924719642
70,2017-01-08,101.10796589072201,98.69243083841219,103.50664570191697
71,2017-01-15,100.16557548051733,97.58736854922626,102.57213499002741
