date,date,Portland_avg_price,SF_avg_price
2015-05-03,2015-05-03,66.8122525040764,
2015-05-10,2015-05-10,66.92845786963434,130.07783367860313
2015-05-17,2015-05-17,68.50520059435364,132.8909733550843
2015-05-24,2015-05-24,68.83625368274151,134.254877747592
2015-05-31,2015-05-31,68.87787271655863,129.87748275141124
2015-06-07,2015-06-07,71.61970474967907,132.32307997618574
2015-06-14,2015-06-14,72.21119592875318,131.64725105728567
2015-06-21,2015-06-21,71.8975127359904,131.74714968738508
2015-06-28,2015-06-28,72.1371640407785,138.67624781510972
2015-07-05,2015-07-05,72.1587166382737,133.00177714590367
2015-07-12,2015-07-12,71.58753277017186,131.24527670958034
2015-07-19,2015-07-19,71.2104969290899,133.99917518970636
2015-07-26,2015-07-26,70.95834475198684,134.33475339996724
2015-08-02,2015-08-02,71.06495547407019,130.35142948923868
2015-08-09,2015-08-09,70.79496951219512,
2015-08-16,2015-08-16,70.14647377938518,
2015-08-23,2015-08-23,,
2015-08-30,2015-08-30,,
2015-09-06,2015-09-06,82.20965517241379,148.22085561497326
2015-09-13,2015-09-13,77.26161137440758,144.47248631518295
2015-09-20,2015-09-20,77.43374366401159,158.72989593188268
2015-09-27,2015-09-27,76.38847417139445,143.18386577798208
2015-10-04,2015-10-04,75.2,141.33808049535602
2015-10-11,2015-10-11,74.68715486194478,140.29023477373255
2015-10-18,2015-10-18,75.03293209175563,139.2579257607137
2015-10-25,2015-10-25,74.84842015371477,136.9347440071027
2015-11-01,2015-11-01,74.59387755102041,136.40810009028763
2015-11-08,2015-11-08,72.22572701688556,131.20079459674216
2015-11-15,2015-11-15,72.06260888501743,129.53286622363478
2015-11-22,2015-11-22,71.74556451612904,126.82748130308023
2015-11-29,2015-11-29,72.45767512800958,127.51882686849574
2015-12-06,2015-12-06,68.53987402583537,121.37603803911064
2015-12-13,2015-12-13,67.53976001627008,121.49844956125882
2015-12-20,2015-12-20,67.57266592808944,125.58940758940759
2015-12-27,2015-12-27,69.53172343091468,124.2646124523507
2016-01-03,2016-01-03,69.32881762049581,127.39329970732922
2016-01-10,2016-01-10,67.72760697305864,123.84414744557017
2016-01-17,2016-01-17,67.47162079510703,125.30213282652306
2016-01-24,2016-01-24,67.28532099343956,123.26488475494455
2016-01-31,2016-01-31,67.23345941227815,124.14183499367054
2016-02-07,2016-02-07,65.8682760965658,146.39677587103483
2016-02-14,2016-02-14,66.21672398420583,129.89572723885232
2016-02-21,2016-02-21,66.0431398576083,123.53438353775505
2016-02-28,2016-02-28,65.8728624970719,122.40665413949375
2016-03-06,2016-03-06,65.55915911222257,124.6774345008921
2016-03-13,2016-03-13,66.12451085023123,126.23029670839128
2016-03-20,2016-03-20,66.59746026107806,127.6116028708134
2016-03-27,2016-03-27,66.72673806179775,126.2750845546787
2016-04-03,2016-04-03,66.36058118899734,127.15488143559068
2016-04-10,2016-04-10,67.05330365510778,126.36534827213823
2016-04-17,2016-04-17,66.65347529128164,126.00750140651373
2016-04-24,2016-04-24,66.30758701603442,126.35498881972563
2016-05-01,2016-05-01,66.5958904109589,126.76843384651
2016-05-08,2016-05-08,67.70115805275573,129.10159100861188
2016-05-15,2016-05-15,67.32265867987559,131.46371928671215
2016-05-22,2016-05-22,67.95976481438782,131.59097094372848
2016-05-29,2016-05-29,68.07909798534799,130.76530084902177
2016-06-05,2016-06-05,68.82588258825882,131.68839627151053
2016-06-12,2016-06-12,69.44000319769766,133.91772366930917
2016-06-19,2016-06-19,69.46479922521046,134.65042303043623
2016-06-26,2016-06-26,69.2160084626234,134.65978311627666
2016-07-03,2016-07-03,69.25966149506347,133.52572270825408
2016-07-10,2016-07-10,71.15908070742437,133.8170455144771
2016-07-17,2016-07-17,70.52097111033763,135.1082704369087
2016-07-24,2016-07-24,70.94333359677547,133.78825985386948
2016-07-31,2016-07-31,71.09948202315661,135.0534471371234
2016-08-07,2016-08-07,72.27676134640654,143.66615818778126
2016-08-14,2016-08-14,71.59808838837891,135.76237678591207
2016-08-21,2016-08-21,71.80868724312998,133.5540134849156
2016-08-28,2016-08-28,71.58826572083056,132.44432036449726
2016-09-04,2016-09-04,71.73540322580645,133.0907194994786
2016-09-11,2016-09-11,71.40268456375838,133.18313836224283
2016-09-18,2016-09-18,71.34188982933259,134.0858240819812
2016-09-25,2016-09-25,71.12346731361878,134.94426438813593
2016-10-02,2016-10-02,70.39705969882745,132.28706006120888
2016-10-09,2016-10-09,70.09968680089486,139.19370583521527
2016-10-16,2016-10-16,70.36976289623523,128.72597834059627
2016-10-23,2016-10-23,70.19758996368438,127.72148804838643
2016-10-30,2016-10-30,70.1741289547457,126.47498416719442
2016-11-06,2016-11-06,69.76542395249092,124.09473051492687
2016-11-13,2016-11-13,69.16122327790974,122.6616387200703
2016-11-20,2016-11-20,68.2254971590909,121.50123194853192
2016-11-27,2016-11-27,69.0713285407525,121.46523195965318
