,ds,yhat,yhat_lower,yhat_upper
0,2015-05-10,118.67658365961424,115.9608951875589,121.4291436998484
1,2015-05-17,123.6098777135156,120.91038652597796,126.07665960731485
2,2015-05-24,122.34089057801448,119.8897556351761,124.94961540089483
3,2015-05-31,121.75997602070433,119.2143215596127,124.33997738266723
4,2015-06-07,124.80903584455949,122.31020074284973,127.37797919571796
5,2015-06-14,124.96675579918498,122.40517625436924,127.59826707323748
6,2015-06-21,126.42611803786028,123.77493427498203,129.02679320333326
7,2015-06-28,125.99588039348978,123.56738880746344,128.58341800530587
8,2015-07-05,126.47088588318026,123.89263624709288,129.09744181458697
9,2015-07-12,125.81363466620736,123.15667040138365,128.26290180175906
10,2015-07-19,128.17815002202428,125.4588832505995,130.67279591876573
11,2015-07-26,127.54138472293114,124.8483490750839,130.01651011979126
12,2015-08-02,127.69828166345579,125.2279800844392,130.29649037857018
13,2015-08-09,134.7913958477689,131.95469698496672,137.2194550268513
14,2015-08-16,132.2943337733007,129.5229162046639,134.9069508980268
15,2015-08-23,128.3000914817452,125.73923401143884,130.92807359680535
16,2015-08-30,130.88387355954637,128.2989196637062,133.37459855253613
17,2015-09-06,135.97908095584353,133.2959329469183,138.60944601229858
18,2015-09-13,133.52089308905266,130.87314805525529,136.04677832933137
19,2015-09-20,139.38632265931625,136.66922985589815,142.04146955477012
20,2015-09-27,132.1793582441327,129.52429628489537,134.75061053613098
21,2015-10-04,131.00039996357748,128.44880984119675,133.7025829570192
22,2015-10-11,128.5648791013779,125.84999475493034,130.91852474333376
23,2015-10-18,128.54532225571248,126.11526242524944,131.13183580333515
24,2015-10-25,126.8228459418422,124.08440938667985,129.39945355666143
25,2015-11-01,124.52243794002818,121.9452943677747,127.1225575619998
26,2015-11-08,122.69899419423335,120.17472763088244,125.22761292645184
27,2015-11-15,120.01324026163066,117.28002507481108,122.62040231720054
28,2015-11-22,120.00550522419677,117.45927853248621,122.64444413229413
29,2015-11-29,118.08038441591275,115.52491821383272,120.74222419720255
30,2015-12-06,115.36395440723679,112.84711947571716,118.10167918277678
31,2015-12-13,113.11557714087742,110.55348072710217,115.62756209813976
32,2015-12-20,114.18978682765426,111.58339469344949,116.89996739764416
33,2015-12-27,113.10311321740275,110.57226311575883,115.76325829510918
34,2016-01-03,113.58941144582468,110.99209795592716,116.12800881375453
35,2016-01-10,113.24304604275497,110.5926326740776,115.94620424024026
36,2016-01-17,114.3283332735815,111.61791711639401,116.96808801135761
37,2016-01-24,113.0030662681712,110.34560289944375,115.54637024804819
38,2016-01-31,113.47148021396782,111.02245133387754,116.20171770427339
39,2016-02-07,118.4724629523456,115.97048781164875,120.966521474324
40,2016-02-14,115.213377034259,112.66322447486576,117.86557059218292
41,2016-02-21,110.88535012979578,108.32882056116941,113.75145649540505
42,2016-02-28,111.8541958628782,109.27350309691315,114.4794665991146
43,2016-03-06,114.15240015889931,111.5369371655968,116.64134358577874
44,2016-03-13,114.33096566266377,111.74079030632285,116.8917577415093
45,2016-03-20,116.1471930730815,113.47293656880335,118.51895693145704
46,2016-03-27,113.90909348058543,111.31862239141192,116.63555932190853
47,2016-04-03,114.60630099568971,112.06207919482739,117.07191857306302
48,2016-04-10,113.74656055662167,111.12771077275379,116.37405019876655
49,2016-04-17,112.54628874538764,109.85584653373805,115.10360495569334
