,date,price_float
0,2015-03-01,71.63636363636364
1,2015-03-02,70.5848623853211
2,2015-03-03,70.66966292134832
3,2015-03-04,71.13033707865169
4,2015-03-05,71.25858123569795
5,2015-03-06,73.0873786407767
6,2015-03-07,72.81572481572482
7,2015-03-08,70.65324384787472
8,2015-03-09,70.31837606837607
9,2015-03-10,70.08884297520662
10,2015-03-11,69.80903490759754
11,2015-03-12,69.27463312368972
12,2015-03-13,72.31746031746032
13,2015-03-14,72.13103448275862
14,2015-03-15,69.81390593047034
15,2015-03-16,69.96875
16,2015-03-17,69.6717850287908
17,2015-03-18,70.56164383561644
18,2015-03-19,70.96660117878193
19,2015-03-20,72.94432989690722
20,2015-03-21,72.51041666666667
21,2015-03-22,70.27766599597585
22,2015-03-23,70.08023483365949
23,2015-03-24,71.05210420841684
24,2015-03-25,71.07098121085595
25,2015-03-26,70.60574948665298
26,2015-03-27,72.95901639344262
27,2015-03-28,72.46601941747574
28,2015-03-29,70.00743494423791
29,2015-03-30,69.31711711711712
30,2015-03-31,69.07543859649122
31,2015-04-01,69.09310344827587
32,2015-04-02,69.06282722513089
33,2015-04-03,70.87453874538745
34,2015-04-04,70.82967032967034
35,2015-04-05,68.28097731239093
36,2015-04-06,68.25969645868466
37,2015-04-07,68.43166666666667
38,2015-04-08,68.15371621621621
39,2015-04-09,68.21160409556315
40,2015-04-10,70.20926243567753
41,2015-04-11,70.28424657534246
42,2015-04-12,68.59696458684654
43,2015-04-13,68.62778730703259
44,2015-04-14,68.5645438898451
45,2015-04-15,68.6483704974271
46,2015-04-16,68.6048951048951
47,2015-04-17,70.47202797202797
48,2015-04-18,70.18556701030928
49,2015-04-19,67.94378194207836
50,2015-04-20,68.0688524590164
51,2015-04-21,67.9640522875817
52,2015-04-22,68.16013071895425
53,2015-04-23,68.11292962356792
54,2015-04-24,69.86567164179104
55,2015-04-25,70.04793388429752
56,2015-04-26,68.47308319738988
57,2015-04-27,68.59609120521172
58,2015-04-28,68.4313408723748
59,2015-04-29,68.34670947030497
60,2015-04-30,68.17207792207792
61,2015-05-01,70.2344262295082
62,2015-05-02,70.13703099510603
63,2015-05-03,68.36581469648563
64,2015-05-04,68.45696400625978
65,2015-05-05,68.5203125
66,2015-05-06,68.32601880877743
67,2015-05-07,68.3801261829653
68,2015-05-08,70.336
69,2015-05-09,70.34028892455859
70,2015-05-10,68.38924050632912
71,2015-05-11,68.53134796238244
72,2015-05-12,68.66905444126074
73,2015-05-13,68.78378378378379
74,2015-05-14,68.77825464949929
75,2015-05-15,71.14866863905326
76,2015-05-16,71.3018154311649
77,2015-05-17,69.22385861561119
78,2015-05-18,68.9804347826087
79,2015-05-19,68.87393162393163
80,2015-05-20,68.9103840682788
81,2015-05-21,69.027817403709
82,2015-05-22,71.17134416543574
83,2015-05-23,71.18580060422961
84,2015-05-24,68.75113122171946
85,2015-05-25,68.5436005625879
86,2015-05-26,68.41265474552958
87,2015-05-27,68.34735413839891
88,2015-05-28,68.73396998635744
89,2015-05-29,71.02197802197803
90,2015-05-30,71.49304589707927
91,2015-05-31,73.8314606741573
92,2015-06-01,73.03813559322033
93,2015-06-02,72.89539748953975
94,2015-06-03,73.34549356223177
95,2015-06-04,73.70428893905192
96,2015-06-05,77.35251798561151
97,2015-06-06,78.23627684964201
98,2015-06-07,75.0551876379691
99,2015-06-08,73.719836400818
100,2015-06-09,73.10183299389001
101,2015-06-10,73.36344537815125
102,2015-06-11,74.53218884120172
103,2015-06-12,78.40338164251207
104,2015-06-13,78.13691931540342
105,2015-06-14,75.31162790697674
106,2015-06-15,74.45434782608696
107,2015-06-16,74.15876288659794
108,2015-06-17,73.25150905432595
109,2015-06-18,73.70468431771894
110,2015-06-19,76.76715176715177
111,2015-06-20,76.84288747346072
112,2015-06-21,74.29856850715747
113,2015-06-22,73.95131845841784
114,2015-06-23,74.63967611336032
115,2015-06-24,74.2357894736842
116,2015-06-25,74.95661605206074
117,2015-06-26,78.18721461187215
118,2015-06-27,78.03432494279176
119,2015-06-28,74.4327731092437
120,2015-06-29,73.72972972972973
121,2015-06-30,73.77383177570094
122,2015-07-01,74.47137404580153
123,2015-07-02,74.95238095238095
124,2015-07-03,77.56082474226804
125,2015-07-04,77.07438016528926
126,2015-07-05,74.6581532416503
127,2015-07-06,74.18060836501901
128,2015-07-07,74.18666666666667
129,2015-07-08,74.99405940594059
130,2015-07-09,73.81573498964804
131,2015-07-10,75.86344537815125
132,2015-07-11,75.60631578947368
133,2015-07-12,73.99164926931107
134,2015-07-13,74.26833976833977
135,2015-07-14,73.50844277673546
136,2015-07-15,73.27221172022685
137,2015-07-16,73.19148936170212
138,2015-07-17,75.87795275590551
139,2015-07-18,75.92415169660678
140,2015-07-19,72.8359375
141,2015-07-20,73.00191938579654
142,2015-07-21,73.06741573033707
143,2015-07-22,73.05123339658444
144,2015-07-23,73.24230769230769
145,2015-07-24,75.40307101727447
146,2015-07-25,75.2561669829222
147,2015-07-26,73.04868913857678
148,2015-07-27,72.78927911275416
149,2015-07-28,72.72151898734177
150,2015-07-29,72.73881932021467
151,2015-07-30,73.09689213893967
152,2015-07-31,75.4183486238532
153,2015-08-01,75.33151183970855
154,2015-08-02,73.19064748201438
155,2015-08-03,72.85514834205934
156,2015-08-04,72.89100346020761
157,2015-08-05,73.2424778761062
158,2015-08-06,73.06607142857143
159,2015-08-07,75.040072859745
160,2015-08-08,75.1711229946524
161,2015-08-09,72.04266211604096
162,2015-08-10,72.77956989247312
163,2015-09-02,85.83636363636364
164,2015-09-03,85.70854271356784
