,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2015-05-10,,123.52450138299574,,,,-15166.954717239367,15414.003720005358,,,,6.55333229560739,-15283.925886326755,15297.03255091797,,,
2015-05-17,,131.15184265516777,,,,120.06148427012614,142.24220104020935,,,,1.7391306999165295,-9.351227685125053,12.829489084958155,,,
2015-05-24,,132.11449222335511,,,,122.50908353149991,141.71990091521027,,,,2.1403855242368763,-7.465023167618284,11.74579421609208,,,
2015-05-31,,133.37669469127104,,,,124.31980274339446,142.43358663914762,,,,-3.499211939859805,-12.556103887736384,5.557680008016774,,,
2015-06-07,,138.8773127035497,,,,130.10721581699852,147.6474095901009,,,,-6.554232727363967,-15.324329613915154,2.2158641591872197,,,
2015-06-14,,138.58244167649258,,,,129.98875462398337,147.17612872900176,,,,-6.935190619206878,-15.52887767171606,1.6584964333023322,,,
2015-06-21,,136.87970461662516,,,,128.4054446087668,145.35396462448352,,,,-5.1325549292400865,-13.606814937098449,3.3417050786182756,,,
2015-06-28,,136.55465449079867,,,,128.1665508827373,144.94275809886,,,,2.12159332431105,-6.266510283750279,10.509696932372407,,,
2015-07-05,,136.85956455783628,,,,128.5364967691741,145.18263234649845,,,,-3.8577874119326054,-12.180855200594777,4.465280376729567,,,
2015-07-12,,135.44037086942072,,,,127.16809134695539,143.71265039188606,,,,-4.19509415984038,-12.46737368230572,4.077185362624945,,,
2015-07-19,,134.3639837565036,,,,126.13242652544879,142.5955409875584,,,,-0.3648085667972225,-8.59636579785203,7.866748664257571,,,
2015-07-26,,133.895243621599,,,,125.69703332849592,142.09345391470208,,,,0.43950977836823313,-7.758700514734841,8.637720071471321,,,
2015-08-02,,134.11660552611565,,,,125.94617683954313,142.28703421268818,,,,-3.765176036876966,-11.9356047234495,4.405252649695555,,,
2015-08-09,,133.35339562783327,,,,125.20644576852042,141.5003454871461,,,,-3.0019661385945824,-11.148915997907409,5.144983720718258,,,
2015-08-16,,132.01354874679677,,,,123.88668252020214,140.14041497339142,,,,-1.6621192575580892,-9.788985484152732,6.46474696903654,,,
2015-08-23,,131.89867164212654,,,,123.7891630667006,140.00818021755254,,,,-1.5472421528878613,-9.656750728313853,6.562266422538087,,,
2015-08-30,,131.7979065261487,,,,123.70353392345358,139.89227912884382,,,,-1.4464770369100108,-9.540849639605142,6.647895565785106,,,
2015-09-06,,152.51683376832926,,,,144.43576271974536,160.59790481691314,,,,-4.295978153356003,-12.377049201939883,3.785092895227905,,,
2015-09-13,,143.73037329424272,,,,135.66107170367457,151.79967488481088,,,,0.742113020940252,-7.327188569627907,8.811414611508411,,,
2015-09-20,,144.0686878847706,,,,136.00986312688198,152.12751264265924,,,,14.66120804711207,6.6023832892234395,22.7200328050007,,,
2015-09-27,,143.04755065166432,,,,134.9981022539077,151.09699904942096,,,,0.13631512631778264,-7.913133271438852,8.185763524074417,,,
2015-10-04,,141.00449213337345,,,,132.963475601031,149.0455086657159,,,,0.3335883619825779,-7.7074281703598615,8.374604894325017,,,
2015-10-11,,140.1362631090815,,,,132.10286188549037,148.16966433267262,,,,0.15397166465106693,-7.879429558940046,8.187372888242209,,,
2015-10-18,,140.73998962648872,,,,132.71349308715153,148.7664861658259,,,,-1.482063865775018,-9.508560405112206,6.54443267356217,,,
2015-10-25,,140.35400774264878,,,,132.3337937290717,148.37422175622584,,,,-3.4192637355460818,-11.439477749123142,4.600950278031007,,,
2015-11-01,,139.7638352100753,,,,131.7493560237612,147.77831439638942,,,,-3.199762138356789,-11.214241324670894,4.814717047957316,,,
2015-11-08,,133.89273979450408,,,,125.88351085964833,141.90196872935982,,,,-4.039953808856126,-12.049182743711867,3.96927512599963,,,
2015-11-15,,133.74841157693294,,,,125.74400218383094,141.75282097003495,,,,-5.3566104343048835,-13.361019827406892,2.647798958797111,,,
2015-11-22,,133.05705125409864,,,,125.0570769410732,141.05702556712404,,,,-7.207787919521991,-15.207762232547395,0.7921863935034423,,,
2015-11-29,,134.2916846045999,,,,126.29580084214963,142.2875683670502,,,,-7.979451847581856,-15.975335610032147,0.016431914868419994,,,
2015-12-06,,126.96670759669709,,,,118.97460451543563,134.95881067795858,,,,-6.802128438380464,-14.794231519641954,1.1899746428809976,,,
2015-12-13,,124.89667188977346,,,,116.90806985165231,132.88527392789462,,,,-4.543240170375896,-12.531842208497054,3.445361867745248,,,
2015-12-20,,124.93793753404272,,,,116.95258338989443,132.923291678191,,,,-1.2007467670413519,-9.186100911189627,6.784607377106937,,,
2015-12-27,,128.18610598851203,,,,120.20376989801338,136.16844207901067,,,,-5.384198577425181,-13.36653466792383,2.5981375130734676,,,
2016-01-03,,127.21221058661524,,,,119.23268330210549,135.191737871125,,,,-1.3896236194422897,-9.369150903952061,6.589903665067467,,,
2016-01-10,,124.60182324723021,,,,116.6249137824022,132.57873271205824,,,,-2.1925654449747753,-10.169474909802801,5.784344019853236,,,
2016-01-17,,124.25496758822393,,,,116.2805012079649,132.22943396848297,,,,-0.16627050286653855,-8.14073688312557,7.808195877392492,,,
2016-01-24,,124.19921917311885,,,,116.22703565275819,132.17140269347954,,,,-1.9755305098362754,-9.947714030196963,5.996653010524383,,,
2016-01-31,,123.7126407434168,,,,115.74259285511167,131.68268863172193,,,,-0.3581537309938909,-8.328201619299023,7.611894157311241,,,
2016-02-07,,121.09671751368232,,,,113.12866970521407,129.06476532215058,,,,22.52342032619684,14.555372517728586,30.491468134665098,,,
2016-02-14,,122.53592124297428,,,,114.56974848027052,130.50209400567806,,,,5.3404209956650135,-2.6257517670387642,13.306593758368777,,,
2016-02-21,,122.17159542405966,,,,114.20718217362742,130.1360086744919,,,,-0.2641334908553006,-8.228546741287545,7.700279759576944,,,
2016-02-28,,122.287938058664,,,,114.32517739006639,130.2506987272616,,,,-1.0379174943800393,-9.00067816297765,6.924843174217571,,,
2016-03-06,,121.93354911721333,,,,113.97234190893951,129.89475632548715,,,,2.6590739234531213,-5.302133284820698,10.62028113172694,,,
2016-03-13,,122.98429786684497,,,,115.02455210155827,130.94404363213167,,,,3.24599884154631,-4.713746923740388,11.205744606833008,,,
2016-03-20,,123.91726814204168,,,,115.95889827936004,131.8756380047233,,,,3.694334728771736,-4.264035133909886,11.652704591453372,,,
2016-03-27,,124.27084493237685,,,,116.31377134913352,132.2279185156202,,,,2.004239622301867,-5.952833960941476,9.961313205545196,,,
2016-04-03,,124.58277491494499,,,,116.62692340436712,132.53862642552286,,,,2.3375296535829335,-5.618321856994939,10.293381164160806,,,
2016-04-10,,124.31163154036346,,,,116.35693286284963,132.26633021787728,,,,-0.7287792644100222,-8.68347794192384,7.22591941310381,,,
