,ds,yhat,yhat_lower,yhat_upper
0,2015-05-10,119.4228352911303,116.58193127616751,122.25038769512027
1,2015-05-17,121.60689365675198,118.72324796674937,124.70739823764687
2,2015-05-24,122.16949902127448,119.10809594514495,125.12721860094388
3,2015-05-31,122.63959006573323,119.59935075423033,125.59957769123737
4,2015-06-07,125.27232792199669,122.20203914043356,128.15839276384696
5,2015-06-14,125.01698991424901,122.18935795769612,127.81642614984233
6,2015-06-21,126.66297597963649,124.03131845914336,129.66375416904745
7,2015-06-28,127.11422861273732,124.2607607383041,129.87772405805862
8,2015-07-05,127.53562498765373,124.41793203801758,130.4325844513267
9,2015-07-12,125.4681435108849,122.58282887268726,128.42407065959534
10,2015-07-19,126.34728147037868,123.39802596540738,129.189873004826
11,2015-07-26,127.10722835267933,124.30595249928977,130.0406504956284
12,2015-08-02,129.4208269772604,126.50878682444649,132.16462285172528
13,2015-08-09,137.9211631565467,135.04268625810278,140.74898457084055
14,2015-08-16,132.78467601538213,129.8065027626569,135.859429982432
15,2015-08-23,131.91732825692588,128.95223492948753,134.9531158393622
16,2015-08-30,132.07867017651543,129.10170859230573,134.98884647683113
17,2015-09-06,134.8875281065524,131.9475332946164,137.9286978668722
18,2015-09-13,133.4999498614967,130.6672444564144,136.46155710717807
19,2015-09-20,139.11847744343262,136.3723581043576,141.89291058077822
20,2015-09-27,131.00509880597588,128.15459757840475,133.87324190724465
21,2015-10-04,130.74701038533166,127.77197772744933,133.65953932938916
22,2015-10-11,129.7112829949887,126.66105401403323,132.72946471094957
23,2015-10-18,129.78450075449965,126.67008823057027,132.6837452516663
24,2015-10-25,126.94097232184664,124.10959084625034,129.81891689365543
25,2015-11-01,124.39429567236625,121.42522928747593,127.46427474398062
26,2015-11-08,124.41402537376156,121.68008202302691,127.31918328333802
27,2015-11-15,123.04905662715689,120.04164810022868,125.89483799747899
28,2015-11-22,121.06672998956094,118.3837493919039,124.04027479411933
29,2015-11-29,118.10986549106701,115.12188430751272,121.00460298580862
30,2015-12-06,116.73833894850692,113.93902381893615,119.55218181812455
31,2015-12-13,113.37729906982497,110.51239035690703,116.29131204807734
32,2015-12-20,114.35070621015782,111.29297196518263,117.20751407598624
33,2015-12-27,114.97864495322267,112.04725453234032,117.80206194167293
34,2016-01-03,115.53064418367005,112.79175728823026,118.60173972347395
35,2016-01-10,114.27578735426123,111.52279083646951,117.28316728860509
36,2016-01-17,114.03136098884663,111.14359453680773,116.78680188172245
37,2016-01-24,113.57571404484064,110.67461147501983,116.61933423259362
38,2016-01-31,114.99237374979388,112.12619951656157,117.82383257608384
39,2016-02-07,117.89389896966604,114.8605551446746,120.67860378426818
40,2016-02-14,115.9448641898273,113.27099252527316,118.9477334069757
41,2016-02-21,113.41130708359809,110.54113795480767,116.32489316853672
42,2016-02-28,111.98438205077284,109.06032614407046,114.96946753512857
43,2016-03-06,114.42208498485407,111.54491793889008,117.20828031727137
44,2016-03-13,114.94651175456389,111.94763901170263,117.70096229993958
45,2016-03-20,117.18427675822299,114.27557337106147,119.97318205075199
46,2016-03-27,116.51077554071831,113.56221959833783,119.48510617101093
47,2016-04-03,115.85167133935715,113.14404583964132,118.72452136770849
48,2016-04-10,115.66335487368536,112.92291596480865,118.5842741893664
49,2016-04-17,116.22383053403202,113.43930458627361,118.98116161777719
50,2016-04-24,115.64797805606287,112.59327519088905,118.40732726760366
51,2016-05-01,116.07827320483531,113.13812434850146,119.12172663999714
52,2016-05-08,119.25516712890456,116.30727440918174,122.09591502593608
53,2016-05-15,119.44619896128383,116.59691367175638,122.43119508150517
54,2016-05-22,120.12145501051398,117.33191346707461,123.10928479962683
55,2016-05-29,119.70140221782174,116.89983958707928,122.67273087910147
56,2016-06-05,120.5261934440821,117.75510628437817,123.55599997189452
57,2016-06-12,119.52967717647378,116.78679621178547,122.32856708054453
58,2016-06-19,121.64021724494106,118.51251685893835,124.54592179100143
59,2016-06-26,121.84487747947364,118.77161138303383,124.84367151216257
60,2016-07-03,121.50796392501914,118.77140050524113,124.24676017718137
61,2016-07-10,121.0176670597054,118.10220646470923,124.02576875768759
62,2016-07-17,120.3030715597239,117.48101210230745,123.29153015265155
63,2016-07-24,119.91948437849933,116.90815587350687,122.95126333007357
64,2016-07-31,121.22831950319058,118.46419818149158,124.52311152923909
65,2016-08-07,129.95582882226697,127.08362037782383,132.906500899574
66,2016-08-14,123.09288910472966,120.1019051850778,125.92853653644234
67,2016-08-21,122.5055347486906,119.64975726734957,125.49750002423932
68,2016-08-28,121.69503623110603,118.78478499831252,124.6364470230212
69,2016-09-04,122.67335040157933,119.80643332302729,125.68164979277735
70,2016-09-11,121.62055381987892,118.65143967191888,124.52983661708413
71,2016-09-18,121.67920696953182,119.00000375093161,124.7030301043958
72,2016-09-25,119.50395805418617,116.58509943398695,122.4231255003681
73,2016-10-02,118.54166625756163,115.53062267490967,121.42535103234192
