,ds,yhat,yhat_lower,yhat_upper
0,2015-09-13,134.59863185629095,132.57599101593826,136.6855541573964
1,2015-09-20,140.61081825872577,138.54429197101697,142.65934189765983
2,2015-09-27,133.05051648218776,130.9294780736327,135.0706376634846
3,2015-10-04,131.82433673019975,129.66720326926713,133.8538487548274
4,2015-10-11,129.6014811402648,127.61426781479074,131.67975140263667
5,2015-10-18,129.00116254921386,127.01927039997359,131.0303671060182
6,2015-10-25,127.78132153215743,125.68985993634458,129.8089220065131
7,2015-11-01,125.61162682396213,123.60126318287115,127.53891325867531
8,2015-11-08,122.30503318925555,120.37295156177476,124.54338279605737
9,2015-11-15,119.58494773245448,117.54439428963843,121.60059889105655
10,2015-11-22,119.20221487994135,117.21273477968843,121.3624751679527
11,2015-11-29,117.67603533685438,115.66290406530402,119.68084060857574
12,2015-12-06,113.70284417591749,111.667807591245,115.776321110411
13,2015-12-13,112.31135992798565,110.22921849986949,114.33412361603808
14,2015-12-20,114.13336366912215,112.0960136516371,116.30517942228997
15,2015-12-27,113.61041290899117,111.4502016982491,115.6830233614777
16,2016-01-03,114.34465442734565,112.09615182846656,116.37562493259665
17,2016-01-10,113.40035043074863,111.32353371151493,115.41130501614602
18,2016-01-17,114.0037459314766,111.90475404193883,116.15887478297317
19,2016-01-24,113.10120870351882,111.08684166788655,115.1386667238078
20,2016-01-31,113.73349177334617,111.6335519074807,115.68307351581068
21,2016-02-07,116.75013512947581,114.70179579074951,118.80134034720345
22,2016-02-14,114.40153856822484,112.27769075110811,116.53502167467715
23,2016-02-21,111.43521601203781,109.41053475748916,113.67412903778254
24,2016-02-28,112.46663424309047,110.53747788534542,114.53190160136532
25,2016-03-06,113.17050340654242,111.13232596343771,115.04167564492249
26,2016-03-13,114.41138541182505,112.27430205038726,116.4638334548641
27,2016-03-20,116.68564016561078,114.65498600157598,118.79953145474919
28,2016-03-27,114.26521398543782,112.19280953057273,116.26458630757568
29,2016-04-03,115.20538008947716,113.01564229922596,117.2001531818304
30,2016-04-10,113.96847331935543,112.00535049682614,116.0971097740321
