,ds,yhat,yhat_lower,yhat_upper
0,2015-09-06,73.95898725317596,72.48797189304933,75.40504512730274
1,2015-09-13,72.64063590908249,71.15382719162973,74.07071374680861
2,2015-09-20,71.76584302681567,70.40995717591814,73.15167844164066
3,2015-09-27,71.66783055627936,70.25593406304772,73.04594380147711
4,2015-10-04,70.20564305961763,68.80033496089177,71.64600834948165
5,2015-10-11,69.60187341466708,68.21837914918744,71.07777673942184
6,2015-10-18,70.1227480007432,68.55215535403079,71.56803971963471
7,2015-10-25,69.48215013866634,67.95761155990745,70.86983046563905
8,2015-11-01,68.94791735630493,67.41328226946526,70.47651997313395
9,2015-11-08,68.64341612173158,67.21000935761911,70.09763498272392
10,2015-11-15,67.9360226818918,66.52597586995137,69.39537359160384
11,2015-11-22,67.17428293163493,65.74216761510853,68.73947394598672
12,2015-11-29,68.08365667641894,66.70193593815159,69.65308555626672
13,2015-12-06,67.32897976004487,65.865454305692,68.77107763649076
14,2015-12-13,63.436905051963585,61.908562338913406,64.86163182646105
15,2015-12-20,63.5098213109485,61.996614062697844,65.10078587649285
16,2015-12-27,66.32974875248577,64.95236503272663,67.76371682618918
17,2016-01-03,64.49146013580392,62.98881643169497,65.96440218378844
18,2016-01-10,61.35682790846458,60.000287239204056,62.81623518103769
19,2016-01-17,61.85593031669197,60.37280418619894,63.32834791647067
20,2016-01-24,62.28582488583884,60.85264414507581,63.780414705567225
21,2016-01-31,61.79529268600295,60.36195936815616,63.21025088823407
22,2016-02-07,61.173191217481275,59.79465157263745,62.542403762883275
23,2016-02-14,60.69414553910787,59.15339415020788,62.04790162710109
24,2016-02-21,60.529800523670716,59.08642969987756,62.02162042648744
25,2016-02-28,60.712323110689,59.293736517916784,62.19519113144574
26,2016-03-06,60.70827898877187,59.342837311342656,62.24984109220548
27,2016-03-13,60.83699789308558,59.51589041429709,62.40783303853298
28,2016-03-20,61.88340255411747,60.461498815299635,63.40177869758874
29,2016-03-27,62.3195517981855,60.87711086407328,63.71283467102205
30,2016-04-03,61.37258475307341,59.945312769774105,62.72131789563915
31,2016-04-10,60.36355872665492,58.99283923860105,61.89874161589603
32,2016-04-17,60.451191323456584,58.983488801784894,61.894748803985244
33,2016-04-24,60.12299010583703,58.61469794239287,61.46731663676782
34,2016-05-01,60.32971610374976,58.81986971505546,61.79062371118041
35,2016-05-08,61.370001611549554,59.87084829396409,62.91882965170591
36,2016-05-15,61.51809700712819,60.028860489757726,62.86565065124356
37,2016-05-22,61.11713265823816,59.75005773780214,62.54448749907932
38,2016-05-29,62.49706628984996,61.04157120897427,63.856761095465565
39,2016-06-05,64.18165290346236,62.781983759496214,65.5833355369872
40,2016-06-12,64.80707786643981,63.378987999833384,66.28017344484802
41,2016-06-19,65.57922882570465,64.10492616787074,67.08437707342613
42,2016-06-26,65.35019976694876,63.84671334662593,66.87867477588205
43,2016-07-03,64.88828759212791,63.406833350516045,66.37850706373503
44,2016-07-10,64.88609849482606,63.48870523360743,66.3934021103079
45,2016-07-17,64.80898545421654,63.33837026630871,66.26914546435971
46,2016-07-24,64.6834821846585,63.24923969515968,66.0429827464021
47,2016-07-31,64.87189426672636,63.403101824561205,66.23708176289271
48,2016-08-07,65.23386175043163,63.77712888410187,66.6374051895435
49,2016-08-14,66.03611754903089,64.701207039448,67.48965760901366
50,2016-08-21,65.83321423545686,64.28341474084552,67.3317650412452
51,2016-08-28,66.03574270178851,64.55133504370703,67.42211577427322
52,2016-09-04,67.46946565498236,66.06525456993788,68.9093114119712
53,2016-09-11,67.22305807423058,65.83220634218405,68.69649668539671
54,2016-09-18,66.53697874749204,65.07743487137712,68.03086187449111
